State,Year,Month,Average Rainfall,Total Rainfall
Johor,2014,January,5.49,170.24
Johor,2014,February,8.78,245.81
Johor,2014,March,4.47,138.66
Johor,2014,April,6.45,193.37
Johor,2014,May,5.95,184.55
Johor,2014,June,3.99,119.83
Johor,2014,July,5.97,185.04
Johor,2014,August,3.49,108.34
Johor,2014,September,4.4,131.93
Johor,2014,October,5.53,171.45
Johor,2014,November,7,209.92
Johor,2014,December,8.02,248.59
Johor,2015,January,6.41,198.8
Johor,2015,February,1.52,42.55
Johor,2015,March,8.34,258.53
Johor,2015,April,5.33,160
Johor,2015,May,3.35,103.91
Johor,2015,June,2.79,83.63
Johor,2015,July,3.31,102.55
Johor,2015,August,4.69,145.3
Johor,2015,September,7.99,239.69
Johor,2015,October,8.19,253.96
Johor,2015,November,12.91,387.34
Johor,2015,December,4.63,143.49
Johor,2016,January,9.51,294.76
Johor,2016,February,5.02,145.65
Johor,2016,March,5.05,156.51
Johor,2016,April,4.98,149.46
Johor,2016,May,3.91,121.08
Johor,2016,June,3.02,90.71
Johor,2016,July,7.59,235.17
Johor,2016,August,5.33,165.19
Johor,2016,September,11.56,346.91
Johor,2016,October,7.12,220.64
Johor,2016,November,7.78,233.41
Johor,2016,December,13.99,433.71
Johor,2017,January,3.13,97.13
Johor,2017,February,3.19,89.4
Johor,2017,March,7.71,238.96
Johor,2017,April,7.13,213.79
Johor,2017,May,7.15,221.52
Johor,2017,June,3.61,108.18
Johor,2017,July,3.59,111.38
Johor,2017,August,4.61,142.8
Johor,2017,September,4,120.02
Johor,2017,October,4.83,149.65
Johor,2017,November,7.81,234.27
Johor,2017,December,7.12,220.74
Johor,2018,January,4.73,146.66
Johor,2018,February,4.9,137.18
Johor,2018,March,2.29,71.07
Johor,2018,April,5.25,157.43
Johor,2018,May,4.57,141.68
Johor,2018,June,3.03,91.02
Johor,2018,July,4.88,151.19
Johor,2018,August,7.76,240.6
Johor,2018,September,7.06,211.68
Johor,2018,October,4.69,145.25
Johor,2018,November,4.28,128.49
Johor,2018,December,13.27,411.29
Johor,2019,January,7.65,237.21
Johor,2019,February,1.57,43.9
Johor,2019,March,2.65,82.13
Johor,2019,April,7.46,223.84
Johor,2019,May,3.34,103.58
Johor,2019,June,3.72,111.47
Johor,2019,July,3.64,112.76
Johor,2019,August,3.49,108.11
Johor,2019,September,5.32,159.46
Johor,2019,October,7.01,217.29
Johor,2019,November,6.6,197.87
Johor,2019,December,10.49,325.05
Johor,2020,January,8.15,252.67
Johor,2020,February,4.33,125.71
Johor,2020,March,6.04,187.16
Johor,2020,April,5.39,161.82
Johor,2020,May,7.99,247.65
Johor,2020,June,5.61,168.21
Johor,2020,July,5.09,157.8
Johor,2020,August,4.26,131.98
Johor,2020,September,5.95,178.52
Johor,2020,October,5.48,169.78
Johor,2020,November,8.35,250.35
Johor,2020,December,9.43,292.39
Kedah,2014,January,0.66,20.54
Kedah,2014,February,6.71,187.98
Kedah,2014,March,6.48,201
Kedah,2014,April,9.57,287.17
Kedah,2014,May,6.76,209.45
Kedah,2014,June,4.51,135.29
Kedah,2014,July,3.81,118.1
Kedah,2014,August,5.4,167.54
Kedah,2014,September,9.51,285.36
Kedah,2014,October,10.12,313.62
Kedah,2014,November,5.96,178.74
Kedah,2014,December,3.4,105.48
Kedah,2015,January,0.94,29
Kedah,2015,February,4.76,133.15
Kedah,2015,March,2.33,72.17
Kedah,2015,April,6.78,203.37
Kedah,2015,May,6.55,203.04
Kedah,2015,June,7.83,234.76
Kedah,2015,July,5.69,176.54
Kedah,2015,August,4.3,133.34
Kedah,2015,September,5.19,155.56
Kedah,2015,October,5.94,184.2
Kedah,2015,November,5.64,169.3
Kedah,2015,December,2.15,66.64
Kedah,2016,January,3.77,116.81
Kedah,2016,February,0.49,14.33
Kedah,2016,March,3.43,106.34
Kedah,2016,April,10.41,312.19
Kedah,2016,May,7.64,236.91
Kedah,2016,June,6.97,209.13
Kedah,2016,July,5.64,174.88
Kedah,2016,August,4.88,151.14
Kedah,2016,September,6.78,203.54
Kedah,2016,October,5.17,160.17
Kedah,2016,November,6.43,192.86
Kedah,2016,December,2.25,69.71
Kedah,2017,January,1.58,49.05
Kedah,2017,February,9.21,257.76
Kedah,2017,March,1.87,58.06
Kedah,2017,April,7.07,212.02
Kedah,2017,May,4.94,153.22
Kedah,2017,June,4.46,133.92
Kedah,2017,July,9.14,283.23
Kedah,2017,August,7.66,237.4
Kedah,2017,September,13.51,405.37
Kedah,2017,October,12.9,399.78
Kedah,2017,November,6.92,207.66
Kedah,2017,December,0.96,29.65
Kedah,2018,January,1.36,42.16
Kedah,2018,February,0.85,23.84
Kedah,2018,March,4.05,125.5
Kedah,2018,April,5.01,150.35
Kedah,2018,May,5.61,173.91
Kedah,2018,June,2.16,64.66
Kedah,2018,July,1.24,38.5
Kedah,2018,August,2.32,71.79
Kedah,2018,September,1.54,46.22
Kedah,2018,October,1.33,41.19
Kedah,2018,November,5.37,160.98
Kedah,2018,December,1.16,35.82
Kedah,2019,January,6.1,189.14
Kedah,2019,February,5.01,140.3
Kedah,2019,March,7.67,237.65
Kedah,2019,April,9.66,289.66
Kedah,2019,May,9.03,279.9
Kedah,2019,June,1.89,56.57
Kedah,2019,July,3.25,100.68
Kedah,2019,August,1.56,48.23
Kedah,2019,September,2.58,77.36
Kedah,2019,October,3.66,113.37
Kedah,2019,November,5.34,160.3
Kedah,2019,December,3.25,100.87
Kedah,2020,January,1.21,37.6
Kedah,2020,February,2.54,73.67
Kedah,2020,March,2.28,70.71
Kedah,2020,April,7.43,222.98
Kedah,2020,May,6.98,216.44
Kedah,2020,June,8.46,253.65
Kedah,2020,July,4.47,138.44
Kedah,2020,August,9.4,291.41
Kedah,2020,September,13.82,414.64
Kedah,2020,October,13.9,431.01
Kedah,2020,November,9.93,297.99
Kedah,2020,December,2.92,90.59
Kelantan,2014,January,2.51,77.71
Kelantan,2014,February,8.2,229.51
Kelantan,2014,March,5.92,183.47
Kelantan,2014,April,3.53,105.76
Kelantan,2014,May,8.49,263.1
Kelantan,2014,June,4.82,144.55
Kelantan,2014,July,4.68,145.19
Kelantan,2014,August,5.21,161.41
Kelantan,2014,September,9.21,276.38
Kelantan,2014,October,9.09,281.69
Kelantan,2014,November,14.72,441.65
Kelantan,2014,December,19.35,599.91
Kelantan,2015,January,3.32,102.78
Kelantan,2015,February,4.5,126.04
Kelantan,2015,March,2.43,75.18
Kelantan,2015,April,3.91,117.2
Kelantan,2015,May,6.14,190.3
Kelantan,2015,June,6.67,199.95
Kelantan,2015,July,4.64,143.81
Kelantan,2015,August,5.07,157.2
Kelantan,2015,September,5.46,163.74
Kelantan,2015,October,6.37,197.52
Kelantan,2015,November,10.13,303.83
Kelantan,2015,December,15.98,495.36
Kelantan,2016,January,5.33,165.25
Kelantan,2016,February,2.11,61.17
Kelantan,2016,March,2.78,86.05
Kelantan,2016,April,4.77,143.02
Kelantan,2016,May,5.75,178.21
Kelantan,2016,June,4.64,139.06
Kelantan,2016,July,5.95,184.55
Kelantan,2016,August,4.88,151.4
Kelantan,2016,September,5.22,156.49
Kelantan,2016,October,7.55,234
Kelantan,2016,November,13.22,396.47
Kelantan,2016,December,31.21,967.59
Kelantan,2017,January,6.2,192.18
Kelantan,2017,February,6.48,181.36
Kelantan,2017,March,2.81,87.06
Kelantan,2017,April,5.21,156.16
Kelantan,2017,May,7.28,225.64
Kelantan,2017,June,4.88,146.45
Kelantan,2017,July,7.36,228.31
Kelantan,2017,August,6.26,194.04
Kelantan,2017,September,9.2,276.12
Kelantan,2017,October,6.25,193.79
Kelantan,2017,November,15.13,453.99
Kelantan,2017,December,5.53,171.44
Kelantan,2018,January,2.38,73.68
Kelantan,2018,February,2.11,59.15
Kelantan,2018,March,3.05,94.42
Kelantan,2018,April,3.2,96.11
Kelantan,2018,May,3.99,123.59
Kelantan,2018,June,3.54,106.24
Kelantan,2018,July,1.92,59.59
Kelantan,2018,August,1.97,61.1
Kelantan,2018,September,3.3,98.87
Kelantan,2018,October,1.26,39.01
Kelantan,2018,November,6.45,193.6
Kelantan,2018,December,9.27,287.22
Kelantan,2019,January,18.17,563.34
Kelantan,2019,February,6.49,181.83
Kelantan,2019,March,7.88,244.41
Kelantan,2019,April,6.44,193.19
Kelantan,2019,May,7.07,219.19
Kelantan,2019,June,3.59,107.82
Kelantan,2019,July,2.97,92.03
Kelantan,2019,August,1.81,56.01
Kelantan,2019,September,3.24,97.06
Kelantan,2019,October,1.71,53.09
Kelantan,2019,November,6.95,208.63
Kelantan,2019,December,13.42,416.14
Kelantan,2020,January,2.42,75.03
Kelantan,2020,February,2.58,74.82
Kelantan,2020,March,2.45,75.94
Kelantan,2020,April,4.31,129.28
Kelantan,2020,May,6.15,190.8
Kelantan,2020,June,9.35,280.5
Kelantan,2020,July,7.75,240.33
Kelantan,2020,August,6.92,214.43
Kelantan,2020,September,8.14,244.24
Kelantan,2020,October,12.73,394.52
Kelantan,2020,November,23.59,707.81
Kelantan,2020,December,16.9,523.97
Melaka,2014,January,1.38,42.69
Melaka,2014,February,4.75,132.9
Melaka,2014,March,3.61,111.79
Melaka,2014,April,9.53,285.87
Melaka,2014,May,6.26,194.07
Melaka,2014,June,4.51,135.27
Melaka,2014,July,6.15,190.72
Melaka,2014,August,2.85,88.5
Melaka,2014,September,6.89,206.57
Melaka,2014,October,7.04,218.18
Melaka,2014,November,7.15,214.49
Melaka,2014,December,3.96,122.77
Melaka,2015,January,2.39,74.06
Melaka,2015,February,1.2,33.46
Melaka,2015,March,9.27,287.49
Melaka,2015,April,6.01,180.24
Melaka,2015,May,2.92,90.44
Melaka,2015,June,2.09,62.71
Melaka,2015,July,4.8,148.76
Melaka,2015,August,3.49,108.24
Melaka,2015,September,7.41,222.19
Melaka,2015,October,6.73,208.69
Melaka,2015,November,7.22,216.48
Melaka,2015,December,1.97,61.04
Melaka,2016,January,4.8,148.73
Melaka,2016,February,1.57,45.59
Melaka,2016,March,2.91,90.16
Melaka,2016,April,5.95,178.38
Melaka,2016,May,4.63,143.41
Melaka,2016,June,2.36,70.87
Melaka,2016,July,6.73,208.52
Melaka,2016,August,5.78,179.28
Melaka,2016,September,8.38,251.38
Melaka,2016,October,4.28,132.62
Melaka,2016,November,4.46,133.74
Melaka,2016,December,3.99,123.65
Melaka,2017,January,1.61,50.02
Melaka,2017,February,3.04,85.04
Melaka,2017,March,6.58,203.94
Melaka,2017,April,2.96,88.71
Melaka,2017,May,4.88,151.13
Melaka,2017,June,3.13,93.83
Melaka,2017,July,5.1,158
Melaka,2017,August,4.38,135.73
Melaka,2017,September,5.61,168.32
Melaka,2017,October,5.97,185.22
Melaka,2017,November,7.16,214.91
Melaka,2017,December,2.05,63.6
Melaka,2018,January,1.84,57.02
Melaka,2018,February,3.94,110.34
Melaka,2018,March,1.4,43.41
Melaka,2018,April,4.83,144.96
Melaka,2018,May,4.96,153.65
Melaka,2018,June,1.67,50.18
Melaka,2018,July,3.05,94.64
Melaka,2018,August,5.02,155.63
Melaka,2018,September,6.28,188.48
Melaka,2018,October,2.58,80.09
Melaka,2018,November,3.54,106.1
Melaka,2018,December,2.18,67.48
Melaka,2019,January,1.31,40.64
Melaka,2019,February,1.48,41.46
Melaka,2019,March,4.95,153.37
Melaka,2019,April,7.52,225.46
Melaka,2019,May,2.34,72.42
Melaka,2019,June,2.93,87.91
Melaka,2019,July,3.4,105.41
Melaka,2019,August,2.51,77.95
Melaka,2019,September,4.07,122.2
Melaka,2019,October,3.5,108.49
Melaka,2019,November,6.53,195.8
Melaka,2019,December,4.41,136.63
Melaka,2020,January,2.61,80.97
Melaka,2020,February,5.33,154.56
Melaka,2020,March,5.9,182.97
Melaka,2020,April,4.64,139.09
Melaka,2020,May,5.43,168.19
Melaka,2020,June,6.33,189.79
Melaka,2020,July,4.13,128.06
Melaka,2020,August,4.05,125.52
Melaka,2020,September,6.52,195.5
Melaka,2020,October,7.81,242.23
Melaka,2020,November,8,240.01
Melaka,2020,December,6.33,196.27
Negeri Sembilan,2014,January,3.15,97.62
Negeri Sembilan,2014,February,4.66,130.51
Negeri Sembilan,2014,March,4.64,143.98
Negeri Sembilan,2014,April,8.47,254.14
Negeri Sembilan,2014,May,5.85,181.29
Negeri Sembilan,2014,June,2.59,77.59
Negeri Sembilan,2014,July,5.19,160.81
Negeri Sembilan,2014,August,2.41,74.78
Negeri Sembilan,2014,September,4.45,133.6
Negeri Sembilan,2014,October,5.96,184.79
Negeri Sembilan,2014,November,10.19,305.81
Negeri Sembilan,2014,December,3.9,120.99
Negeri Sembilan,2015,January,3.53,109.36
Negeri Sembilan,2015,February,2.51,70.33
Negeri Sembilan,2015,March,4.72,146.37
Negeri Sembilan,2015,April,3.75,112.64
Negeri Sembilan,2015,May,4.52,140.25
Negeri Sembilan,2015,June,1.67,50.03
Negeri Sembilan,2015,July,2.62,81.24
Negeri Sembilan,2015,August,2.35,72.89
Negeri Sembilan,2015,September,6.54,196.05
Negeri Sembilan,2015,October,7.69,238.51
Negeri Sembilan,2015,November,6.61,198.25
Negeri Sembilan,2015,December,2.93,90.92
Negeri Sembilan,2016,January,4.15,128.53
Negeri Sembilan,2016,February,2.64,76.47
Negeri Sembilan,2016,March,3.74,115.79
Negeri Sembilan,2016,April,7.14,214.31
Negeri Sembilan,2016,May,4.53,140.32
Negeri Sembilan,2016,June,2.84,85.22
Negeri Sembilan,2016,July,8.18,253.72
Negeri Sembilan,2016,August,4.54,140.86
Negeri Sembilan,2016,September,7.16,214.78
Negeri Sembilan,2016,October,3.91,121.09
Negeri Sembilan,2016,November,5.04,151.09
Negeri Sembilan,2016,December,5.65,175.28
Negeri Sembilan,2017,January,2.09,64.66
Negeri Sembilan,2017,February,2.84,79.53
Negeri Sembilan,2017,March,5.28,163.8
Negeri Sembilan,2017,April,5.13,154.04
Negeri Sembilan,2017,May,4.93,152.88
Negeri Sembilan,2017,June,2.22,66.53
Negeri Sembilan,2017,July,4.09,126.68
Negeri Sembilan,2017,August,3.81,118.12
Negeri Sembilan,2017,September,4.17,124.95
Negeri Sembilan,2017,October,5.02,155.64
Negeri Sembilan,2017,November,7.67,230.22
Negeri Sembilan,2017,December,3.75,116.26
Negeri Sembilan,2018,January,2.16,67
Negeri Sembilan,2018,February,5.71,159.82
Negeri Sembilan,2018,March,3.84,118.99
Negeri Sembilan,2018,April,4.02,120.74
Negeri Sembilan,2018,May,3.89,120.68
Negeri Sembilan,2018,June,1.64,49.3
Negeri Sembilan,2018,July,1.82,56.54
Negeri Sembilan,2018,August,6.22,192.95
Negeri Sembilan,2018,September,3.7,111.13
Negeri Sembilan,2018,October,1.94,60.13
Negeri Sembilan,2018,November,3.37,101.17
Negeri Sembilan,2018,December,4.59,142.36
Negeri Sembilan,2019,January,1.46,45.3
Negeri Sembilan,2019,February,2.06,57.55
Negeri Sembilan,2019,March,4.22,130.93
Negeri Sembilan,2019,April,7.16,214.75
Negeri Sembilan,2019,May,2.69,83.53
Negeri Sembilan,2019,June,2.8,83.96
Negeri Sembilan,2019,July,1.88,58.18
Negeri Sembilan,2019,August,1.53,47.55
Negeri Sembilan,2019,September,3.25,97.37
Negeri Sembilan,2019,October,2.41,74.66
Negeri Sembilan,2019,November,6.6,198.14
Negeri Sembilan,2019,December,7.67,237.86
Negeri Sembilan,2020,January,3.17,98.27
Negeri Sembilan,2020,February,7.28,211.08
Negeri Sembilan,2020,March,4.99,154.78
Negeri Sembilan,2020,April,6.83,204.76
Negeri Sembilan,2020,May,5.33,165.31
Negeri Sembilan,2020,June,3.85,115.64
Negeri Sembilan,2020,July,4.55,140.91
Negeri Sembilan,2020,August,3.69,114.44
Negeri Sembilan,2020,September,5.34,160.17
Negeri Sembilan,2020,October,5.5,170.53
Negeri Sembilan,2020,November,7.43,223.01
Negeri Sembilan,2020,December,6.8,210.88
Pahang,2014,January,6.87,212.91
Pahang,2014,February,4.65,130.15
Pahang,2014,March,4.72,146.45
Pahang,2014,April,6.52,195.55
Pahang,2014,May,6.2,192.21
Pahang,2014,June,4.06,121.76
Pahang,2014,July,5.56,172.25
Pahang,2014,August,3.28,101.72
Pahang,2014,September,5.19,155.63
Pahang,2014,October,7.32,226.91
Pahang,2014,November,14.26,427.89
Pahang,2014,December,8.31,257.73
Pahang,2015,January,8.79,272.52
Pahang,2015,February,2.98,83.57
Pahang,2015,March,2.91,90.32
Pahang,2015,April,3.97,119.15
Pahang,2015,May,4.34,134.63
Pahang,2015,June,2.41,72.31
Pahang,2015,July,2.52,78.08
Pahang,2015,August,3.09,95.78
Pahang,2015,September,6.03,180.8
Pahang,2015,October,8.77,271.86
Pahang,2015,November,10.33,309.81
Pahang,2015,December,8.59,266.2
Pahang,2016,January,5.31,164.65
Pahang,2016,February,3.36,97.38
Pahang,2016,March,4.17,129.32
Pahang,2016,April,7.1,213.09
Pahang,2016,May,5.94,184.09
Pahang,2016,June,3.52,105.56
Pahang,2016,July,9.67,299.88
Pahang,2016,August,3.51,108.8
Pahang,2016,September,6.26,187.85
Pahang,2016,October,5.44,168.72
Pahang,2016,November,8.37,251.12
Pahang,2016,December,12.36,383.16
Pahang,2017,January,4.78,148.1
Pahang,2017,February,3.46,96.88
Pahang,2017,March,4.11,127.42
Pahang,2017,April,6.25,187.59
Pahang,2017,May,5.21,161.64
Pahang,2017,June,3.36,100.69
Pahang,2017,July,5.85,181.33
Pahang,2017,August,5.06,156.98
Pahang,2017,September,5.56,166.75
Pahang,2017,October,6.11,189.42
Pahang,2017,November,9.69,290.81
Pahang,2017,December,10.54,326.89
Pahang,2018,January,5.96,184.86
Pahang,2018,February,5.65,158.25
Pahang,2018,March,4.68,145
Pahang,2018,April,4.25,127.36
Pahang,2018,May,4.38,135.68
Pahang,2018,June,2.66,79.69
Pahang,2018,July,2.19,67.74
Pahang,2018,August,4.23,131.14
Pahang,2018,September,2.82,84.5
Pahang,2018,October,1.92,59.49
Pahang,2018,November,2.98,89.41
Pahang,2018,December,9.76,302.59
Pahang,2019,January,4.09,126.67
Pahang,2019,February,3.18,88.98
Pahang,2019,March,5.36,166.06
Pahang,2019,April,7.68,230.4
Pahang,2019,May,4.32,133.85
Pahang,2019,June,4.66,139.86
Pahang,2019,July,2.02,62.61
Pahang,2019,August,1.48,45.91
Pahang,2019,September,3.24,97.34
Pahang,2019,October,2.44,75.62
Pahang,2019,November,7.1,212.92
Pahang,2019,December,12.84,398.15
Pahang,2020,January,4.13,127.96
Pahang,2020,February,4.14,119.94
Pahang,2020,March,3.2,99.2
Pahang,2020,April,5.31,159.2
Pahang,2020,May,5.22,161.73
Pahang,2020,June,4.73,141.86
Pahang,2020,July,5.3,164.31
Pahang,2020,August,4.82,149.52
Pahang,2020,September,5.21,156.44
Pahang,2020,October,5.64,174.95
Pahang,2020,November,6.16,184.7
Pahang,2020,December,15.24,472.39
Pulau Pinang,2014,January,0.78,24.3
Pulau Pinang,2014,February,7.07,197.95
Pulau Pinang,2014,March,8.72,270.18
Pulau Pinang,2014,April,9.07,272.19
Pulau Pinang,2014,May,7.48,231.96
Pulau Pinang,2014,June,3.72,111.5
Pulau Pinang,2014,July,2.82,87.34
Pulau Pinang,2014,August,4.72,146.35
Pulau Pinang,2014,September,10,300.03
Pulau Pinang,2014,October,9.53,295.47
Pulau Pinang,2014,November,7.26,217.65
Pulau Pinang,2014,December,3.81,118.21
Pulau Pinang,2015,January,1.37,42.38
Pulau Pinang,2015,February,5.22,146.19
Pulau Pinang,2015,March,2.72,84.3
Pulau Pinang,2015,April,6.87,206.18
Pulau Pinang,2015,May,4.38,135.88
Pulau Pinang,2015,June,7.12,213.55
Pulau Pinang,2015,July,5.26,163.21
Pulau Pinang,2015,August,3.14,97.24
Pulau Pinang,2015,September,3.99,119.81
Pulau Pinang,2015,October,7.69,238.29
Pulau Pinang,2015,November,5.53,165.95
Pulau Pinang,2015,December,2.97,92.14
Pulau Pinang,2016,January,6.37,197.34
Pulau Pinang,2016,February,1.22,35.34
Pulau Pinang,2016,March,2.84,87.98
Pulau Pinang,2016,April,9.29,278.81
Pulau Pinang,2016,May,5.67,175.86
Pulau Pinang,2016,June,5.42,162.47
Pulau Pinang,2016,July,5.72,177.35
Pulau Pinang,2016,August,4.35,134.78
Pulau Pinang,2016,September,6.96,208.69
Pulau Pinang,2016,October,6.55,203.08
Pulau Pinang,2016,November,6.64,199.05
Pulau Pinang,2016,December,4.2,130.17
Pulau Pinang,2017,January,3.02,93.73
Pulau Pinang,2017,February,8.13,227.54
Pulau Pinang,2017,March,3.03,93.84
Pulau Pinang,2017,April,4.8,143.91
Pulau Pinang,2017,May,4.52,140.18
Pulau Pinang,2017,June,4.63,138.94
Pulau Pinang,2017,July,7.97,247.07
Pulau Pinang,2017,August,6.44,199.67
Pulau Pinang,2017,September,11.28,338.47
Pulau Pinang,2017,October,11.23,348.24
Pulau Pinang,2017,November,8.45,253.55
Pulau Pinang,2017,December,1.04,32.32
Pulau Pinang,2018,January,1.94,60.14
Pulau Pinang,2018,February,2.07,57.88
Pulau Pinang,2018,March,4.03,124.98
Pulau Pinang,2018,April,5.31,159.19
Pulau Pinang,2018,May,4.4,136.36
Pulau Pinang,2018,June,1.59,47.82
Pulau Pinang,2018,July,0.93,28.86
Pulau Pinang,2018,August,1.97,61.21
Pulau Pinang,2018,September,3.04,91.19
Pulau Pinang,2018,October,0.4,12.36
Pulau Pinang,2018,November,2.62,78.54
Pulau Pinang,2018,December,1.51,46.85
Pulau Pinang,2019,January,6.19,191.94
Pulau Pinang,2019,February,5.84,163.4
Pulau Pinang,2019,March,7.02,217.66
Pulau Pinang,2019,April,8.52,255.51
Pulau Pinang,2019,May,6.06,187.94
Pulau Pinang,2019,June,2.02,60.58
Pulau Pinang,2019,July,1.97,61.21
Pulau Pinang,2019,August,0.53,16.57
Pulau Pinang,2019,September,3.43,103.02
Pulau Pinang,2019,October,0.34,10.66
Pulau Pinang,2019,November,2.88,86.49
Pulau Pinang,2019,December,4.18,129.52
Pulau Pinang,2020,January,2.76,85.5
Pulau Pinang,2020,February,3.74,108.49
Pulau Pinang,2020,March,3.33,103.26
Pulau Pinang,2020,April,7.12,213.45
Pulau Pinang,2020,May,6.21,192.59
Pulau Pinang,2020,June,8.94,268.05
Pulau Pinang,2020,July,4.12,127.78
Pulau Pinang,2020,August,7.05,218.7
Pulau Pinang,2020,September,11.74,352.15
Pulau Pinang,2020,October,19.19,594.95
Pulau Pinang,2020,November,13.97,419
Pulau Pinang,2020,December,5.75,178.3
Perak,2014,January,2.69,83.32
Perak,2014,February,8.43,236.16
Perak,2014,March,8.48,263
Perak,2014,April,8.51,255.25
Perak,2014,May,7.81,242.12
Perak,2014,June,4.19,125.6
Perak,2014,July,4.83,149.75
Perak,2014,August,3.37,104.43
Perak,2014,September,7.53,225.77
Perak,2014,October,9.72,301.33
Perak,2014,November,11.05,331.6
Perak,2014,December,7.5,232.65
Perak,2015,January,4.24,131.4
Perak,2015,February,5.71,159.84
Perak,2015,March,3.91,121.34
Perak,2015,April,6.4,192.02
Perak,2015,May,4.91,152.2
Perak,2015,June,5.04,151.24
Perak,2015,July,4.36,135.21
Perak,2015,August,4.04,125.25
Perak,2015,September,5.46,163.7
Perak,2015,October,7.19,222.89
Perak,2015,November,7.56,226.88
Perak,2015,December,8.05,249.69
Perak,2016,January,7.26,225
Perak,2016,February,2.5,72.57
Perak,2016,March,4.42,137.01
Perak,2016,April,8.42,252.49
Perak,2016,May,7.15,221.5
Perak,2016,June,3.9,116.88
Perak,2016,July,6.26,194.2
Perak,2016,August,4.82,149.28
Perak,2016,September,7.19,215.63
Perak,2016,October,5.69,176.37
Perak,2016,November,8.51,255.28
Perak,2016,December,9.63,298.66
Perak,2017,January,4.26,132.04
Perak,2017,February,7.73,216.52
Perak,2017,March,3.4,105.43
Perak,2017,April,4.76,142.71
Perak,2017,May,6.07,188.06
Perak,2017,June,4.24,127.25
Perak,2017,July,6.42,199.1
Perak,2017,August,5.46,169.15
Perak,2017,September,9.17,274.95
Perak,2017,October,9.23,286.02
Perak,2017,November,10.77,323.1
Perak,2017,December,3.17,98.15
Perak,2018,January,3.05,94.49
Perak,2018,February,4.33,121.1
Perak,2018,March,4.5,139.57
Perak,2018,April,5.07,152.1
Perak,2018,May,4.67,144.84
Perak,2018,June,2.08,62.44
Perak,2018,July,2.08,64.61
Perak,2018,August,1.91,59.31
Perak,2018,September,2.89,86.66
Perak,2018,October,1.67,51.71
Perak,2018,November,4.39,131.68
Perak,2018,December,4.35,134.83
Perak,2019,January,9.65,299.08
Perak,2019,February,7.59,212.4
Perak,2019,March,9.42,291.92
Perak,2019,April,9.3,279.1
Perak,2019,May,6.76,209.68
Perak,2019,June,2.86,85.86
Perak,2019,July,2.63,81.66
Perak,2019,August,1.04,32.32
Perak,2019,September,3.13,93.91
Perak,2019,October,2.56,79.34
Perak,2019,November,5.15,154.63
Perak,2019,December,6.95,215.38
Perak,2020,January,3.12,96.57
Perak,2020,February,3.5,101.47
Perak,2020,March,3.6,111.57
Perak,2020,April,7.08,212.46
Perak,2020,May,6.72,208.47
Perak,2020,June,7.13,213.79
Perak,2020,July,5.33,165.09
Perak,2020,August,6.12,189.73
Perak,2020,September,8.67,260.13
Perak,2020,October,14.04,435.38
