State,Year,Month,Average Rainfall,Total Rainfall
Perak,2020,November,13.41,402.15
Perak,2020,December,10.83,335.73
Perlis,2014,January,0.52,16.19
Perlis,2014,February,4,112.08
Perlis,2014,March,4.49,139.1
Perlis,2014,April,8.03,240.91
Perlis,2014,May,4.81,149.13
Perlis,2014,June,4.04,121.08
Perlis,2014,July,5.42,168.02
Perlis,2014,August,7.13,220.96
Perlis,2014,September,8.57,257.03
Perlis,2014,October,7.07,219.25
Perlis,2014,November,3.44,103.19
Perlis,2014,December,2.62,81.28
Perlis,2015,January,0.42,12.88
Perlis,2015,February,6.27,175.44
Perlis,2015,March,1.35,41.75
Perlis,2015,April,5.3,159.09
Perlis,2015,May,5.61,173.86
Perlis,2015,June,5.2,156.06
Perlis,2015,July,4.7,145.79
Perlis,2015,August,4.14,128.26
Perlis,2015,September,3.06,91.92
Perlis,2015,October,4.35,134.78
Perlis,2015,November,3.17,95.1
Perlis,2015,December,0.45,13.86
Perlis,2016,January,1.74,54.03
Perlis,2016,February,0.15,4.35
Perlis,2016,March,4.04,125.21
Perlis,2016,April,9.79,293.73
Perlis,2016,May,6.46,200.26
Perlis,2016,June,5.88,176.34
Perlis,2016,July,5.61,174.05
Perlis,2016,August,4.6,142.63
Perlis,2016,September,6.09,182.59
Perlis,2016,October,5.32,164.82
Perlis,2016,November,4.57,136.99
Perlis,2016,December,0.81,25.01
Perlis,2017,January,0.79,24.35
Perlis,2017,February,8.27,231.55
Perlis,2017,March,1.61,49.78
Perlis,2017,April,6.59,197.57
Perlis,2017,May,3.23,100.1
Perlis,2017,June,3.45,103.39
Perlis,2017,July,8.93,276.88
Perlis,2017,August,7.13,221.06
Perlis,2017,September,12.97,389.19
Perlis,2017,October,9.1,282.03
Perlis,2017,November,4.02,120.54
Perlis,2017,December,0.29,9.03
Perlis,2018,January,0.45,13.82
Perlis,2018,February,0.23,6.4
Perlis,2018,March,2.44,75.73
Perlis,2018,April,4.4,132.04
Perlis,2018,May,4.61,142.82
Perlis,2018,June,2.96,88.82
Perlis,2018,July,1.06,32.9
Perlis,2018,August,2,61.93
Perlis,2018,September,1.79,53.66
Perlis,2018,October,1.31,40.62
Perlis,2018,November,4.2,125.92
Perlis,2018,December,0.55,17
Perlis,2019,January,1.07,33.03
Perlis,2019,February,3.87,108.43
Perlis,2019,March,6.84,212.08
Perlis,2019,April,9.31,279.18
Perlis,2019,May,7.13,221
Perlis,2019,June,1.85,55.55
Perlis,2019,July,2.85,88.36
Perlis,2019,August,1.73,53.63
Perlis,2019,September,3.29,98.57
Perlis,2019,October,3.21,99.59
Perlis,2019,November,4.22,126.66
Perlis,2019,December,1.95,60.57
Perlis,2020,January,0.84,26.1
Perlis,2020,February,2.41,69.99
Perlis,2020,March,2.14,66.42
Perlis,2020,April,6.6,198.06
Perlis,2020,May,4.75,147.19
Perlis,2020,June,6.76,202.77
Perlis,2020,July,4.33,134.28
Perlis,2020,August,8.45,261.91
Perlis,2020,September,9.28,278.48
Perlis,2020,October,7.7,238.75
Perlis,2020,November,4.38,131.53
Perlis,2020,December,2.44,75.54
Selangor,2014,January,5.12,158.76
Selangor,2014,February,4.32,120.92
Selangor,2014,March,4.93,152.69
Selangor,2014,April,13.55,406.62
Selangor,2014,May,6.63,205.61
Selangor,2014,June,3.88,116.49
Selangor,2014,July,7.16,221.83
Selangor,2014,August,3.23,100.16
Selangor,2014,September,6.66,199.76
Selangor,2014,October,9.05,280.56
Selangor,2014,November,12.49,374.69
Selangor,2014,December,4.91,152.19
Selangor,2015,January,7.68,237.96
Selangor,2015,February,3.92,109.63
Selangor,2015,March,4.61,142.76
Selangor,2015,April,5.73,171.81
Selangor,2015,May,3.57,110.53
Selangor,2015,June,2.06,61.93
Selangor,2015,July,3.19,98.91
Selangor,2015,August,3.66,113.58
Selangor,2015,September,5.92,177.73
Selangor,2015,October,9.64,298.71
Selangor,2015,November,8.03,240.88
Selangor,2015,December,4.22,130.91
Selangor,2016,January,5.69,176.4
Selangor,2016,February,4.24,122.92
Selangor,2016,March,4.36,135.27
Selangor,2016,April,8.63,258.79
Selangor,2016,May,6.38,197.88
Selangor,2016,June,3.08,92.5
Selangor,2016,July,10.84,336.19
Selangor,2016,August,6.08,188.46
Selangor,2016,September,7.88,236.27
Selangor,2016,October,4.6,142.52
Selangor,2016,November,5.92,177.51
Selangor,2016,December,5.78,179.09
Selangor,2017,January,2.95,91.51
Selangor,2017,February,3.83,107.26
Selangor,2017,March,3.68,113.93
Selangor,2017,April,4.67,140.13
Selangor,2017,May,4.93,152.91
Selangor,2017,June,3.16,94.83
Selangor,2017,July,6.35,196.98
Selangor,2017,August,6.65,206.19
Selangor,2017,September,7.2,216.07
Selangor,2017,October,7.09,219.81
Selangor,2017,November,9.55,286.48
Selangor,2017,December,4.96,153.61
Selangor,2018,January,4.3,133.4
Selangor,2018,February,6.01,168.34
Selangor,2018,March,4.3,133.19
Selangor,2018,April,5.9,176.95
Selangor,2018,May,5.59,173.26
Selangor,2018,June,1.26,37.91
Selangor,2018,July,1.99,61.74
Selangor,2018,August,4.16,129.1
Selangor,2018,September,3.41,102.25
Selangor,2018,October,1.84,57.03
Selangor,2018,November,2.59,77.83
Selangor,2018,December,4.84,150.05
Selangor,2019,January,1.89,58.55
Selangor,2019,February,3.79,106.03
Selangor,2019,March,6.79,210.64
Selangor,2019,April,8.53,255.99
Selangor,2019,May,3.21,99.66
Selangor,2019,June,3.57,107.01
Selangor,2019,July,2.38,73.71
Selangor,2019,August,1.59,49.27
Selangor,2019,September,3.58,107.29
Selangor,2019,October,2.55,79.08
Selangor,2019,November,6.91,207.43
Selangor,2019,December,8.47,262.66
Selangor,2020,January,2.58,79.84
Selangor,2020,February,4.01,116.42
Selangor,2020,March,5.14,159.23
Selangor,2020,April,6.41,192.2
Selangor,2020,May,6.35,196.95
Selangor,2020,June,5.18,155.27
Selangor,2020,July,4.97,153.93
Selangor,2020,August,5.99,185.78
Selangor,2020,September,7.1,213.04
Selangor,2020,October,9.05,280.67
Selangor,2020,November,10.58,317.46
Selangor,2020,December,10.2,316.3
Kuala Lumpur,2014,January,5.12,158.59
Kuala Lumpur,2014,February,4.32,120.89
Kuala Lumpur,2014,March,4.93,152.69
Kuala Lumpur,2014,April,13.58,407.51
Kuala Lumpur,2014,May,6.64,205.79
Kuala Lumpur,2014,June,3.88,116.37
Kuala Lumpur,2014,July,7.16,221.83
Kuala Lumpur,2014,August,3.23,100.28
Kuala Lumpur,2014,September,6.65,199.64
Kuala Lumpur,2014,October,9.05,280.5
Kuala Lumpur,2014,November,12.49,374.7
Kuala Lumpur,2014,December,4.91,152.17
Kuala Lumpur,2015,January,7.68,237.99
Kuala Lumpur,2015,February,3.91,109.54
Kuala Lumpur,2015,March,4.61,142.85
Kuala Lumpur,2015,April,5.74,172.29
Kuala Lumpur,2015,May,3.56,110.44
Kuala Lumpur,2015,June,2.06,61.8
Kuala Lumpur,2015,July,3.19,98.78
Kuala Lumpur,2015,August,3.66,113.5
Kuala Lumpur,2015,September,5.92,177.73
Kuala Lumpur,2015,October,9.63,298.66
Kuala Lumpur,2015,November,8.02,240.62
Kuala Lumpur,2015,December,4.22,130.83
Kuala Lumpur,2016,January,5.69,176.31
Kuala Lumpur,2016,February,4.24,123.01
Kuala Lumpur,2016,March,4.36,135.16
Kuala Lumpur,2016,April,8.64,259.18
Kuala Lumpur,2016,May,6.39,197.99
Kuala Lumpur,2016,June,3.08,92.32
Kuala Lumpur,2016,July,10.85,336.34
Kuala Lumpur,2016,August,6.08,188.52
Kuala Lumpur,2016,September,7.88,236.43
Kuala Lumpur,2016,October,4.59,142.35
Kuala Lumpur,2016,November,5.91,177.34
Kuala Lumpur,2016,December,5.78,179.06
Kuala Lumpur,2017,January,2.95,91.52
Kuala Lumpur,2017,February,3.83,107.26
Kuala Lumpur,2017,March,3.68,114.07
Kuala Lumpur,2017,April,4.67,139.98
Kuala Lumpur,2017,May,4.93,152.81
Kuala Lumpur,2017,June,3.16,94.86
Kuala Lumpur,2017,July,6.36,197.13
Kuala Lumpur,2017,August,6.65,206.05
Kuala Lumpur,2017,September,7.2,216.08
Kuala Lumpur,2017,October,7.09,219.68
Kuala Lumpur,2017,November,9.55,286.48
Kuala Lumpur,2017,December,4.96,153.63
Kuala Lumpur,2018,January,4.3,133.42
Kuala Lumpur,2018,February,6.01,168.29
Kuala Lumpur,2018,March,4.31,133.53
Kuala Lumpur,2018,April,5.9,177.08
Kuala Lumpur,2018,May,5.59,173.36
Kuala Lumpur,2018,June,1.26,37.87
Kuala Lumpur,2018,July,1.99,61.76
Kuala Lumpur,2018,August,4.17,129.14
Kuala Lumpur,2018,September,3.4,102.14
Kuala Lumpur,2018,October,1.83,56.87
Kuala Lumpur,2018,November,2.59,77.7
Kuala Lumpur,2018,December,4.84,150.12
Kuala Lumpur,2019,January,1.89,58.49
Kuala Lumpur,2019,February,3.78,105.97
Kuala Lumpur,2019,March,6.79,210.5
Kuala Lumpur,2019,April,8.53,255.89
Kuala Lumpur,2019,May,3.21,99.52
Kuala Lumpur,2019,June,3.57,107.23
Kuala Lumpur,2019,July,2.38,73.63
Kuala Lumpur,2019,August,1.59,49.2
Kuala Lumpur,2019,September,3.57,107.14
Kuala Lumpur,2019,October,2.55,79.01
Kuala Lumpur,2019,November,6.92,207.45
Kuala Lumpur,2019,December,8.48,262.91
Kuala Lumpur,2020,January,2.57,79.79
Kuala Lumpur,2020,February,4.02,116.51
Kuala Lumpur,2020,March,5.13,159.17
Kuala Lumpur,2020,April,6.41,192.25
Kuala Lumpur,2020,May,6.35,196.96
Kuala Lumpur,2020,June,5.17,155.23
Kuala Lumpur,2020,July,4.97,153.94
Kuala Lumpur,2020,August,5.99,185.65
Kuala Lumpur,2020,September,7.11,213.23
Kuala Lumpur,2020,October,9.05,280.61
Kuala Lumpur,2020,November,10.58,317.38
Kuala Lumpur,2020,December,10.2,316.25
Terengganu,2014,January,5.23,162.24
Terengganu,2014,February,7.5,210.11
Terengganu,2014,March,6.23,193.25
Terengganu,2014,April,4.96,148.65
Terengganu,2014,May,8.97,278.08
Terengganu,2014,June,5.18,155.47
Terengganu,2014,July,6.19,191.95
Terengganu,2014,August,6.2,192.25
Terengganu,2014,September,9.68,290.31
Terengganu,2014,October,10.74,333.01
Terengganu,2014,November,31.8,953.95
Terengganu,2014,December,26.56,823.38
Terengganu,2015,January,9.38,290.71
Terengganu,2015,February,3.54,99.18
Terengganu,2015,March,2.06,63.83
Terengganu,2015,April,2.66,79.67
Terengganu,2015,May,4.66,144.41
Terengganu,2015,June,4.55,136.43
Terengganu,2015,July,4.36,135.29
Terengganu,2015,August,4.27,132.35
Terengganu,2015,September,6.8,204.03
Terengganu,2015,October,8.76,271.52
Terengganu,2015,November,15.77,473.22
Terengganu,2015,December,25.01,775.21
Terengganu,2016,January,4.8,148.76
Terengganu,2016,February,3.59,104.01
Terengganu,2016,March,4.37,135.36
Terengganu,2016,April,6.06,181.88
Terengganu,2016,May,6.62,205.21
Terengganu,2016,June,4.92,147.71
Terengganu,2016,July,9.53,295.56
Terengganu,2016,August,6.37,197.53
Terengganu,2016,September,6.23,186.87
Terengganu,2016,October,7.66,237.47
Terengganu,2016,November,17.87,536
Terengganu,2016,December,33.19,1028.91
Terengganu,2017,January,6.94,215.03
Terengganu,2017,February,5.28,147.73
Terengganu,2017,March,3.13,97.09
Terengganu,2017,April,5.1,153.1
Terengganu,2017,May,6.62,205.37
Terengganu,2017,June,4.31,129.22
Terengganu,2017,July,7.8,241.73
Terengganu,2017,August,7.93,245.69
Terengganu,2017,September,9.7,291.03
Terengganu,2017,October,5.85,181.37
Terengganu,2017,November,28.8,864.08
Terengganu,2017,December,18.38,569.72
Terengganu,2018,January,6.17,191.17
Terengganu,2018,February,3.96,110.82
Terengganu,2018,March,4,124.07
Terengganu,2018,April,3.37,101.08
Terengganu,2018,May,4.68,145.2
Terengganu,2018,June,4.18,125.3
Terengganu,2018,July,3.07,95.32
Terengganu,2018,August,4.04,125.3
Terengganu,2018,September,3.33,99.79
Terengganu,2018,October,1.03,32.02
Terengganu,2018,November,3.26,97.82
Terengganu,2018,December,14.57,451.7
Terengganu,2019,January,16.21,502.4
Terengganu,2019,February,5.55,155.33
Terengganu,2019,March,10.81,335.18
Terengganu,2019,April,7.36,220.87
Terengganu,2019,May,6.07,188.12
Terengganu,2019,June,5.6,167.91
Terengganu,2019,July,2.65,82.2
Terengganu,2019,August,2.41,74.61
Terengganu,2019,September,4.69,140.84
Terengganu,2019,October,2,62.15
Terengganu,2019,November,11.01,330.17
Terengganu,2019,December,18.9,585.96
Terengganu,2020,January,2.98,92.44
Terengganu,2020,February,2.8,81.22
Terengganu,2020,March,2.66,82.35
Terengganu,2020,April,3.34,100.28
Terengganu,2020,May,5.84,180.99
Terengganu,2020,June,8.07,242.09
Terengganu,2020,July,9.09,281.88
Terengganu,2020,August,6.79,210.53
Terengganu,2020,September,6.46,193.89
Terengganu,2020,October,10.11,313.29
Terengganu,2020,November,20.59,617.62
Terengganu,2020,December,29.02,899.49
Sarawak,2014,January,13.24,410.44
Sarawak,2014,February,7.35,205.8
Sarawak,2014,March,5.15,159.65
Sarawak,2014,April,13.81,414.3
Sarawak,2014,May,6.99,216.69
Sarawak,2014,June,9.86,295.8
Sarawak,2014,July,5.42,168.02
Sarawak,2014,August,14.06,435.86
Sarawak,2014,September,6.97,209.1
Sarawak,2014,October,8.01,248.31
Sarawak,2014,November,9.97,299.1
Sarawak,2014,December,16.85,522.35
Sarawak,2015,January,31.76,984.56
Sarawak,2015,February,21.58,604.24
Sarawak,2015,March,6.48,200.88
Sarawak,2015,April,9.15,274.5
Sarawak,2015,May,11.35,351.85
Sarawak,2015,June,9.86,295.8
Sarawak,2015,July,6.87,212.97
Sarawak,2015,August,4.79,148.49
Sarawak,2015,September,4.2,126
Sarawak,2015,October,7.43,230.33
Sarawak,2015,November,20.46,613.8
Sarawak,2015,December,16.93,524.83
Sarawak,2016,January,9.68,300.08
Sarawak,2016,February,48.28,1400.12
Sarawak,2016,March,20.97,650.07
Sarawak,2016,April,18.33,549.9
Sarawak,2016,May,11.29,349.99
Sarawak,2016,June,15,450
Sarawak,2016,July,6.45,199.95
Sarawak,2016,August,9.68,300.08
Sarawak,2016,September,10,300
Sarawak,2016,October,9.68,300.08
Sarawak,2016,November,13.33,399.9
Sarawak,2016,December,9.68,300.08
Sarawak,2017,January,13.23,410.13
Sarawak,2017,February,17.14,479.92
Sarawak,2017,March,7.29,225.99
Sarawak,2017,April,11.33,339.9
Sarawak,2017,May,9.03,279.93
Sarawak,2017,June,9,270
Sarawak,2017,July,8.06,249.86
Sarawak,2017,August,11.61,359.91
Sarawak,2017,September,7,210
Sarawak,2017,October,6.61,204.91
Sarawak,2017,November,6.67,200.1
Sarawak,2017,December,15.81,490.11
Sarawak,2018,January,9.72,301.32
Sarawak,2018,February,14.64,409.92
Sarawak,2018,March,12.1,375.1
Sarawak,2018,April,13,390
Sarawak,2018,May,7.1,220.1
Sarawak,2018,June,9,270
Sarawak,2018,July,9.19,284.89
Sarawak,2018,August,3.87,119.97
Sarawak,2018,September,8.33,249.9
Sarawak,2018,October,11.45,354.95
Sarawak,2018,November,11.67,350.1
Sarawak,2018,December,18.06,559.86
Sarawak,2019,January,13.55,420.05
Sarawak,2019,February,10.71,299.88
Sarawak,2019,March,5.81,180.11
Sarawak,2019,April,6,180
Sarawak,2019,May,8.39,260.09
Sarawak,2019,June,8.33,249.9
Sarawak,2019,July,6.45,199.95
Sarawak,2019,August,5.16,159.96
Sarawak,2019,September,4.67,140.1
Sarawak,2019,October,12.26,380.06
Sarawak,2019,November,8.33,249.9
Sarawak,2019,December,18.71,580.01
Sarawak,2020,January,15.48,479.88
Sarawak,2020,February,17.79,515.91
Sarawak,2020,March,12.26,380.06
Sarawak,2020,April,10.33,309.9
Sarawak,2020,May,9.68,300.08
Sarawak,2020,June,9,270
Sarawak,2020,July,4.52,140.12
Sarawak,2020,August,8.39,260.09
Sarawak,2020,September,12.67,380.1
Sarawak,2020,October,11.29,349.99
Sarawak,2020,November,9.67,290.1
Sarawak,2020,December,12.58,389.98
Sabah,2014,January,10.32,319.92
Sabah,2014,February,2.5,70
Sabah,2014,March,1.94,60.14
Sabah,2014,April,1.67,50.1
Sabah,2014,May,7.1,220.1
Sabah,2014,June,5.33,159.9
Sabah,2014,July,7.74,239.94
Sabah,2014,August,13.87,429.97
Sabah,2014,September,8.33,249.9
Sabah,2014,October,19.1,592.1
Sabah,2014,November,5.67,170.1
Sabah,2014,December,15.48,479.88
Sabah,2015,January,7.42,230.02
Sabah,2015,February,0.11,3.1
Sabah,2015,March,0.04,1.24
Sabah,2015,April,1.83,54.9
Sabah,2015,May,0.81,25.11
Sabah,2015,June,6,180
Sabah,2015,July,7.1,220.1
Sabah,2015,August,13.4,415.4
Sabah,2015,September,5.83,174.9
Sabah,2015,October,6.45,199.95
Sabah,2015,November,7.83,234.9
Sabah,2015,December,8.06,249.86
Sabah,2016,January,0.65,20.15
Sabah,2016,February,1.72,49.88
Sabah,2016,March,0.48,14.88
Sabah,2016,April,1.67,50.1
Sabah,2016,May,4.84,150.04
Sabah,2016,June,9.33,279.9
Sabah,2016,July,11.25,348.75
Sabah,2016,August,6.45,199.95
Sabah,2016,September,10.67,320.1
Sabah,2016,October,7.42,230.02
Sabah,2016,November,6.67,200.1
Sabah,2016,December,4.84,150.04
Sabah,2017,January,20.59,638.29
Sabah,2017,February,7.14,199.92
Sabah,2017,March,12.26,380.06
Sabah,2017,April,12,360
Sabah,2017,May,6.45,199.95
Sabah,2017,June,14.33,429.9
Sabah,2017,July,9.35,289.85
Sabah,2017,August,10,310
Sabah,2017,September,6,180
Sabah,2017,October,9.35,289.85
Sabah,2017,November,10.33,309.9
Sabah,2017,December,18.06,559.86
Sabah,2018,January,10.97,340.07
Sabah,2018,February,10.36,290.08
Sabah,2018,March,8.39,260.09
Sabah,2018,April,12,360
Sabah,2018,May,0.97,30.07
Sabah,2018,June,8.33,249.9
Sabah,2018,July,5.65,175.15
Sabah,2018,August,8.39,260.09
Sabah,2018,September,6.67,200.1
Sabah,2018,October,10,310
Sabah,2018,November,10,300
Sabah,2018,December,12.18,377.58
Sabah,2019,January,14.52,450.12
Sabah,2019,February,0.71,19.88
Sabah,2019,March,10.32,319.92
Sabah,2019,April,6.67,200.1
Sabah,2019,May,7.1,220.1
Sabah,2019,June,10,300
Sabah,2019,July,10.97,340.07
Sabah,2019,August,6.45,199.95
Sabah,2019,September,4,120
Sabah,2019,October,6.45,199.95
Sabah,2019,November,10,300
Sabah,2019,December,16.22,502.82
Sabah,2020,January,12.26,380.06
Sabah,2020,February,2.76,80.04
Sabah,2020,March,3.87,119.97
Sabah,2020,April,5,150
Sabah,2020,May,2.26,70.06
Sabah,2020,June,7.67,230.1
Sabah,2020,July,5.48,169.88
Sabah,2020,August,6.45,199.95
Sabah,2020,September,4.33,129.9
Sabah,2020,October,4.52,140.12
Sabah,2020,November,13.63,408.9
Sabah,2020,December,9.35,289.85
Labuan,2014,January,17.74,549.94
Labuan,2014,February,6.43,180.04
Labuan,2014,March,1.61,49.91
Labuan,2014,April,2.67,80.1
Labuan,2014,May,12.65,392.15
Labuan,2014,June,5.33,159.9
Labuan,2014,July,4.84,150.04
Labuan,2014,August,7.74,239.94
Labuan,2014,September,6.67,200.1
Labuan,2014,October,8.71,270.01
Labuan,2014,November,15,450
Labuan,2014,December,10.65,330.15
Labuan,2015,January,10.97,340.07
Labuan,2015,February,1.07,29.96
Labuan,2015,March,0.81,25.11
Labuan,2015,April,3.33,99.9
Labuan,2015,May,6.45,199.95
Labuan,2015,June,12.67,380.1
Labuan,2015,July,8.39,260.09
Labuan,2015,August,9.35,289.85
Labuan,2015,September,4,120
Labuan,2015,October,6.45,199.95
Labuan,2015,November,13.33,399.9
Labuan,2015,December,14.64,453.84
Labuan,2016,January,20.59,638.29
Labuan,2016,February,7.14,207.06
Labuan,2016,March,12.26,380.06
Labuan,2016,April,12,360
Labuan,2016,May,6.45,199.95
Labuan,2016,June,14.33,429.9
Labuan,2016,July,9.35,289.85
Labuan,2016,August,10,310
Labuan,2016,September,6,180
Labuan,2016,October,9.35,289.85
Labuan,2016,November,10.33,309.9
Labuan,2016,December,18.06,559.86
Labuan,2017,January,2.58,79.98
Labuan,2017,February,4.64,129.92
Labuan,2017,March,9.68,300.08
Labuan,2017,April,5,150
Labuan,2017,May,11.29,349.99
Labuan,2017,June,13.33,399.9
Labuan,2017,July,13.23,410.13
Labuan,2017,August,30.01,930.31
Labuan,2017,September,20,600
Labuan,2017,October,19.35,599.85
Labuan,2017,November,6,180
Labuan,2017,December,24.19,749.89
Labuan,2018,January,13.55,420.05
Labuan,2018,February,7.14,199.92
Labuan,2018,March,4.84,150.04
Labuan,2018,April,9.33,279.9
Labuan,2018,May,5.16,159.96
Labuan,2018,June,12.33,369.9
Labuan,2018,July,4.19,129.89
Labuan,2018,August,2.58,79.98
Labuan,2018,September,11.16,334.8
Labuan,2018,October,11.94,370.14
Labuan,2018,November,11.33,339.9
Labuan,2018,December,5.81,180.11
Labuan,2019,January,14.52,450.12
Labuan,2019,February,0.71,19.88
Labuan,2019,March,10.32,319.92
Labuan,2019,April,6.67,200.1
Labuan,2019,May,7.1,220.1
Labuan,2019,June,10,300
Labuan,2019,July,10.97,340.07
Labuan,2019,August,6.45,199.95
Labuan,2019,September,4,120
Labuan,2019,October,6.45,199.95
Labuan,2019,November,10,300
Labuan,2019,December,16.22,502.82
Labuan,2020,January,7.42,230.02
Labuan,2020,February,0.36,10.44
Labuan,2020,March,1.61,49.91
Labuan,2020,April,4.67,140.1
Labuan,2020,May,4.84,150.04
Labuan,2020,June,12,360
Labuan,2020,July,12.26,380.06
Labuan,2020,August,9.03,279.93
Labuan,2020,September,5.33,159.9
Labuan,2020,October,19.15,593.65
Labuan,2020,November,15,450
Labuan,2020,December,21.29,659.99
Putrajaya,2014,January,12.26,380.06
Putrajaya,2014,February,2.76,77.28
Putrajaya,2014,March,3.87,119.97
Putrajaya,2014,April,5,150
Putrajaya,2014,May,2.26,70.06
Putrajaya,2014,June,7.67,230.1
Putrajaya,2014,July,5.48,169.88
Putrajaya,2014,August,6.45,199.95
Putrajaya,2014,September,4.33,129.9
Putrajaya,2014,October,4.52,140.12
Putrajaya,2014,November,13.63,408.9
Putrajaya,2014,December,9.35,289.85
Putrajaya,2015,January,6.94,215.14
Putrajaya,2015,February,0.34,9.52
Putrajaya,2015,March,4.84,150.04
Putrajaya,2015,April,11,330
Putrajaya,2015,May,6.45,199.95
Putrajaya,2015,June,16.67,500.1
Putrajaya,2015,July,22.58,699.98
Putrajaya,2015,August,11.94,370.14
Putrajaya,2015,September,16,480
Putrajaya,2015,October,22.31,691.61
Putrajaya,2015,November,12.67,380.1
Putrajaya,2015,December,15.48,479.88
Putrajaya,2016,January,2.58,79.98
Putrajaya,2016,February,3.45,100.05
Putrajaya,2016,March,3.23,100.13
Putrajaya,2016,April,1,30
Putrajaya,2016,May,11.17,346.27
Putrajaya,2016,June,4,120
Putrajaya,2016,July,5.81,180.11
Putrajaya,2016,August,1.94,60.14
Putrajaya,2016,September,7.33,219.9
Putrajaya,2016,October,4.84,150.04
Putrajaya,2016,November,5.67,170.1
Putrajaya,2016,December,4.84,150.04
Putrajaya,2017,January,6.45,199.95
Putrajaya,2017,February,6.07,169.96
Putrajaya,2017,March,6.13,190.03
Putrajaya,2017,April,7.67,230.1
Putrajaya,2017,May,4.17,129.27
Putrajaya,2017,June,5,150
Putrajaya,2017,July,5.48,169.88
Putrajaya,2017,August,7.74,239.94
Putrajaya,2017,September,10.17,305.1
Putrajaya,2017,October,5.16,159.96
Putrajaya,2017,November,10,300
Putrajaya,2017,December,3.87,119.97
Putrajaya,2018,January,9.68,300.08
Putrajaya,2018,February,1.79,50.12
Putrajaya,2018,March,6.45,199.95
Putrajaya,2018,April,3.33,99.9
Putrajaya,2018,May,6.45,199.95
Putrajaya,2018,June,7.33,219.9
Putrajaya,2018,July,4.19,129.89
Putrajaya,2018,August,3.23,100.13
Putrajaya,2018,September,8.33,249.9
Putrajaya,2018,October,11.23,348.13
Putrajaya,2018,November,12.33,369.9
Putrajaya,2018,December,10.32,319.92
Putrajaya,2019,January,5.32,164.92
Putrajaya,2019,February,3.21,89.88
Putrajaya,2019,March,5,155
Putrajaya,2019,April,3,90
Putrajaya,2019,May,1.77,54.87
Putrajaya,2019,June,6.5,195
Putrajaya,2019,July,2.42,75.02
Putrajaya,2019,August,3.55,110.05
Putrajaya,2019,September,4.5,135
Putrajaya,2019,October,8.87,274.97
Putrajaya,2019,November,9.5,285
Putrajaya,2019,December,8.39,260.09
Putrajaya,2020,January,4.35,134.85
Putrajaya,2020,February,4.83,140.07
Putrajaya,2020,March,4.19,129.89
Putrajaya,2020,April,11,330
Putrajaya,2020,May,8.06,249.86
Putrajaya,2020,June,8.67,260.1
Putrajaya,2020,July,11.99,371.69
Putrajaya,2020,August,2.58,79.98
Putrajaya,2020,September,5.67,170.1
Putrajaya,2020,October,3.55,110.05
Putrajaya,2020,November,6.33,189.9
Putrajaya,2020,December,6.13,190.03
